,01-ai/Yi-Coder-1.5B,01-ai/Yi-Coder-1.5B-Chat,01-ai/Yi-Coder-9B,01-ai/Yi-Coder-9B-Chat,Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,bigcode/starcoder,bigcode/starcoder2-15b,bigcode/starcoder2-3b,bigcode/starcoder2-7b,codellama/CodeLlama-34b-Instruct-hf,codellama/CodeLlama-70b-Instruct-hf,codellama/CodeLlama-7b-hf,deepseek-ai/deepseek-coder-1.3b-base,deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-ai/deepseek-coder-6.7b-base,deepseek-ai/deepseek-coder-6.7b-instruct,google/codegemma-2b,google/codegemma-7b,human,ibm-granite/granite-8b-code-base-4k,ibm-granite/granite-8b-code-instruct-4k,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,meta-llama/Llama-3.3-70B-Instruct,microsoft/Phi-3-medium-4k-instruct,microsoft/Phi-3-mini-4k-instruct,microsoft/Phi-3-small-8k-instruct,microsoft/Phi-3.5-mini-instruct,microsoft/phi-2
01-ai/Yi-Coder-1.5B,0.0,0.002,0.186,0.018,0.003,0.0,0.001,0.0,0.001,0.008,0.003,0.021,0.033,0.0,0.0,0.012,0.055,0.005,0.001,0.009,0.002,0.0,0.001,0.0,0.057,0.003,0.007,0.045,0.005,0.0,0.005,0.011,0.008,0.001,0.006
01-ai/Yi-Coder-1.5B-Chat,0.011,0.0,0.028,0.027,0.006,0.032,0.094,0.016,0.016,0.002,0.008,0.024,0.003,0.091,0.047,0.003,0.006,0.056,0.002,0.019,0.01,0.006,0.046,0.023,0.017,0.004,0.017,0.022,0.0,0.007,0.012,0.02,0.021,0.02,0.012
01-ai/Yi-Coder-9B,0.095,0.006,0.0,0.011,0.006,0.002,0.0,0.013,0.003,0.014,0.007,0.036,0.058,0.016,0.002,0.015,0.009,0.008,0.007,0.007,0.007,0.013,0.017,0.015,0.054,0.011,0.013,0.012,0.01,0.004,0.003,0.012,0.003,0.004,0.016
01-ai/Yi-Coder-9B-Chat,0.0,0.095,0.0,0.0,0.008,0.015,0.054,0.019,0.007,0.001,0.0,0.0,0.079,0.057,0.018,0.02,0.006,0.02,0.004,0.082,0.001,0.007,0.032,0.009,0.007,0.004,0.017,0.002,0.002,0.012,0.023,0.008,0.011,0.013,0.004
Qwen/Qwen2.5-Coder-1.5B,0.011,0.037,0.008,0.02,0.0,0.02,0.032,0.021,0.016,0.011,0.011,0.024,0.028,0.03,0.055,0.031,0.017,0.052,0.009,0.035,0.01,0.012,0.014,0.02,0.108,0.024,0.012,0.045,0.022,0.024,0.018,0.095,0.032,0.032,0.012
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.003,0.059,0.004,0.018,0.011,0.0,0.092,0.013,0.071,0.004,0.0,0.009,0.003,0.061,0.223,0.004,0.007,0.025,0.007,0.013,0.008,0.007,0.032,0.018,0.018,0.006,0.011,0.009,0.007,0.031,0.014,0.035,0.023,0.059,0.006
Qwen/Qwen2.5-Coder-32B-Instruct,0.001,0.032,0.001,0.011,0.001,0.014,0.0,0.006,0.018,0.0,0.0,0.001,0.0,0.081,0.177,0.004,0.002,0.019,0.003,0.009,0.001,0.001,0.006,0.001,0.002,0.002,0.014,0.002,0.0,0.016,0.021,0.012,0.002,0.035,0.001
Qwen/Qwen2.5-Coder-7B,0.002,0.034,0.001,0.01,0.026,0.014,0.027,0.0,0.025,0.011,0.004,0.0,0.024,0.097,0.036,0.04,0.007,0.01,0.024,0.012,0.015,0.045,0.075,0.082,0.082,0.029,0.019,0.015,0.019,0.046,0.005,0.024,0.014,0.01,0.012
Qwen/Qwen2.5-Coder-7B-Instruct,0.001,0.033,0.001,0.018,0.006,0.062,0.085,0.024,0.0,0.006,0.0,0.0,0.006,0.058,0.197,0.006,0.006,0.026,0.008,0.021,0.004,0.01,0.021,0.022,0.021,0.009,0.023,0.015,0.01,0.018,0.044,0.03,0.032,0.068,0.003
bigcode/starcoder,0.025,0.023,0.033,0.014,0.019,0.01,0.004,0.029,0.013,0.0,0.031,0.071,0.074,0.028,0.013,0.033,0.031,0.007,0.029,0.011,0.011,0.02,0.051,0.062,0.099,0.023,0.011,0.013,0.028,0.012,0.002,0.034,0.019,0.013,0.035
