idx1,idx2,distance,count
10.0,11.0,0.767,2.0
5.0,14.0,0.777,2.0
13.0,29.0,0.802,2.0
0.0,2.0,0.8140000000000001,2.0
16.0,27.0,0.829,2.0
3.0,19.0,0.85,2.0
6.0,36.0,0.8654999999999999,3.0
12.0,15.0,0.866,2.0
31.0,33.0,0.873,2.0
22.0,23.0,0.876,2.0
8.0,41.0,0.8823333333333334,4.0
25.0,28.0,0.885,2.0
4.0,24.0,0.892,2.0
1.0,17.0,0.904,2.0
26.0,37.0,0.9199999999999999,3.0
7.0,44.0,0.9215,3.0
18.0,42.0,0.922,3.0
30.0,43.0,0.924,3.0
20.0,35.0,0.9275,3.0
45.0,52.0,0.9323333333333332,7.0
21.0,47.0,0.9365,3.0
40.0,48.0,0.93925,4.0
38.0,53.0,0.9465,5.0
46.0,55.0,0.9466666666666667,5.0
51.0,58.0,0.9490000000000001,8.0
32.0,54.0,0.9494285714285714,8.0
9.0,50.0,0.9526666666666667,4.0
39.0,59.0,0.9561249999999999,10.0
49.0,56.0,0.9578333333333333,7.0
34.0,61.0,0.9592499999999999,5.0
62.0,64.0,0.96288,15.0
60.0,63.0,0.9684642857142857,15.0
57.0,65.0,0.9713733333333333,20.0
66.0,67.0,0.9830066666666667,35.0
