feature,f_stat,p_value
non_blank_line_count,363.30159666774784,0.0
ast_max_nesting_depth,331.619392647183,0.0
line_count,330.4960624107919,0.0
char_count,323.0767054281847,0.0
ast_avg_function_length,296.06123079107556,0.0
ast_max_function_length,282.9653859774385,0.0
naming_style_ratio,205.93482639125878,0.0
ast_docstring_count,133.36127885234345,0.0
ast_function_count,126.68944823273699,0.0
blank_line_ratio,112.74639855677478,0.0
ast_return_count,92.22682594953038,0.0
max_line_length,86.6474777455244,0.0
comment_line_ratio,78.78187209924594,0.0
ast_has_main_guard,73.83946005004762,0.0
inline_comment_ratio,73.16157151819905,0.0
print_guard_count,67.69638912577331,0.0
snake_case_count,67.68298813848588,0.0
digit_ratio,52.883325495557386,0.0
p90_line_length,51.09263098010675,0.0
whitespace_ratio,48.87520559037532,3.529e-320
indent_consistency,48.227169257090864,1.066577795e-315
long_ident_count,46.072983849388045,8.549233388370581e-301
camel_case_count,44.761754057569725,1.026617437127273e-291
trailing_ws_ratio,41.364816589082245,3.609312114263654e-268
ast_import_count,35.864604510374036,5.519855144445157e-230
default_param_count,34.16764304986612,3.411210266779311e-218
uppercase_ratio,30.41483339156922,4.112117353929937e-192
early_return_count,25.181860874605903,9.071780186308085e-156
avg_line_length,23.373721320397074,3.124595340422081e-143
guard_clause_count,21.831497953480344,1.4905125271231885e-132
ast_comprehension_count,21.788485317857,2.9574828863668925e-132
ast_class_count,16.81414853992174,5.726864019475856e-98
try_count,13.472863611401,3.612949778584675e-75
ast_lambda_count,12.475821373136665,2.0058853445733577e-68
except_count,12.192073717906524,1.641477791421705e-66
type_annotation_count,10.404634635372284,1.531247806987151e-54
ast_early_return_count,9.662454106588278,1.2753921718751751e-49
bare_except_count,8.925977991044693,8.95777883684742e-45
defensive_density,8.778855797240489,8.231482782445158e-44
ast_type_annotation_count,8.427778064530528,1.6101976951130238e-41
ast_fstring_count,6.234411649616662,1.679434859093691e-27
raise_count,4.358847645491439,3.637230320561551e-16
ast_try_count,3.953287518211591,7.568070023101394e-14
ast_except_per_try,3.8597497893653157,2.537144218280638e-13
error_handling_density,3.7093644777888457,1.7412234258904786e-12
ast_none_compare_count,3.4177076141171447,6.78781898366894e-11
ast_guarded_fn_ratio,3.213556770992176,8.269511722149578e-10
todo_count,2.778141223310823,1.3836816458248994e-07
ast_defensive_line_ratio,2.7611559141916033,1.6782576928064925e-07
ast_default_arg_count,2.7227743408524616,2.5904426670965875e-07
ast_broad_except_count,2.289979111846567,2.7669939189584575e-05
error_uniformity,2.2326444734099713,4.959992275071428e-05
ast_decorator_count,2.15411628029783,0.00010862729246350914
uniform_except_count,2.148294625873877,0.00011504230207918793
ast_global_count,2.074727888895704,0.0002353724108261214
step_comment_count,1.9847445961600099,0.0005514016618055625
null_check_count,1.8987778079083086,0.0012105897116151771
logging_count,1.8603023448824991,0.0017057284251350744
isinstance_count,1.801034297640394,0.002859241623609174
ast_raise_count,1.3710220657262777,0.07338781981085982
none_return_count,1.3479230203284005,0.08481584657923082
ast_assert_count,1.1711763870797571,0.22708332676458154
ast_isinstance_count,1.059908279938061,0.3735136108530742
ast_walrus_count,1.0517337848781567,0.3858609003630775
ast_finally_count,0.9411764705882353,0.5659624299489079
